2025-03-10 17:16:34,686 - WARNING - {"ip": "127.0.0.1", "timestamp": "2025-03-10T17:16:34.686324", "user": "anonymous", "department": "none", "device": {"type": "Other", "is_mobile": false, "is_tablet": false, "is_bot": false}, "browser": {"family": "Chrome", "version": "133"}, "os": {"family": "Windows", "version": "10"}, "method": "POST", "path": "/login", "referrer": "https://operator-netscape-identical-entertaining.trycloudflare.com/login", "location": "error: The address 127.0.0.1 is not in the database.", "event_type": "login_attempt", "details": {"username": "admin", "ip": "127.0.0.1", "timestamp": "2025-03-10T17:16:34.686287"}}
2025-03-10 17:16:35,024 - WARNING - {"ip": "127.0.0.1", "timestamp": "2025-03-10T17:16:35.024528", "user": "anonymous", "department": "none", "device": {"type": "Other", "is_mobile": false, "is_tablet": false, "is_bot": false}, "browser": {"family": "Chrome", "version": "133"}, "os": {"family": "Windows", "version": "10"}, "method": "POST", "path": "/login", "referrer": "https://operator-netscape-identical-entertaining.trycloudflare.com/login", "location": "error: The address 127.0.0.1 is not in the database.", "event_type": "login_success", "details": {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}}
2025-03-10 17:24:13,303 - WARNING - {"ip": "127.0.0.1", "timestamp": "2025-03-10T17:24:13.303417", "user": "admin", "department": "none", "device": {"type": "Other", "is_mobile": false, "is_tablet": false, "is_bot": false}, "browser": {"family": "Chrome", "version": "133"}, "os": {"family": "Windows", "version": "10"}, "method": "POST", "path": "/login", "referrer": "https://operator-netscape-identical-entertaining.trycloudflare.com/login", "location": "error: The address 127.0.0.1 is not in the database.", "event_type": "login_attempt", "details": {"username": "admin", "ip": "127.0.0.1", "timestamp": "2025-03-10T17:24:13.303382"}}
2025-03-10 17:24:13,990 - WARNING - {"ip": "127.0.0.1", "timestamp": "2025-03-10T17:24:13.990621", "user": "admin", "department": "none", "device": {"type": "Other", "is_mobile": false, "is_tablet": false, "is_bot": false}, "browser": {"family": "Chrome", "version": "133"}, "os": {"family": "Windows", "version": "10"}, "method": "POST", "path": "/login", "referrer": "https://operator-netscape-identical-entertaining.trycloudflare.com/login", "location": "error: The address 127.0.0.1 is not in the database.", "event_type": "login_success", "details": {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}}
2025-03-10 17:26:30,198 - WARNING - {"ip": "192.168.8.192", "timestamp": "2025-03-10T17:26:30.198072", "user": "anonymous", "department": "none", "device": {"type": "Other", "is_mobile": false, "is_tablet": false, "is_bot": false}, "browser": {"family": "Chrome", "version": "133"}, "os": {"family": "Windows", "version": "10"}, "method": "POST", "path": "/login", "referrer": "https://rebate-apollo-ruth-proof.trycloudflare.com/login", "location": "error: The address 192.168.8.192 is not in the database.", "event_type": "login_attempt", "details": {"username": "admin", "ip": "192.168.8.192", "timestamp": "2025-03-10T17:26:30.198034"}}
2025-03-10 17:26:30,500 - WARNING - {"ip": "192.168.8.192", "timestamp": "2025-03-10T17:26:30.500366", "user": "anonymous", "department": "none", "device": {"type": "Other", "is_mobile": false, "is_tablet": false, "is_bot": false}, "browser": {"family": "Chrome", "version": "133"}, "os": {"family": "Windows", "version": "10"}, "method": "POST", "path": "/login", "referrer": "https://rebate-apollo-ruth-proof.trycloudflare.com/login", "location": "error: The address 192.168.8.192 is not in the database.", "event_type": "login_success", "details": {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}}
2025-03-10 17:40:25,104 - WARNING - EVENT: login_attempt | IP: 2402:4000:2390:816b:9452:793c:996c:174a | Country: LK | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"username": "admin", "ip": "192.168.8.192", "timestamp": "2025-03-10T17:40:25.104556"}
2025-03-10 17:40:25,469 - WARNING - EVENT: login_success | IP: 2402:4000:2390:816b:9452:793c:996c:174a | Country: LK | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}
2025-03-10 17:49:09,131 - WARNING - EVENT: login_attempt | IP: 2402:4000:2390:816b:9452:793c:996c:174a | Location: unknown, LK (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"username": "admin", "ip": "192.168.8.192", "timestamp": "2025-03-10T17:49:09.131849"}
2025-03-10 17:49:09,699 - WARNING - EVENT: login_success | IP: 2402:4000:2390:816b:9452:793c:996c:174a | Location: unknown, LK (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}
2025-03-10 17:59:37,832 - WARNING - EVENT: login_attempt | IP: 2402:4000:2390:816b:9452:793c:996c:174a | Location: Colombo, Sri Lanka (Colombo District) | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"username": "admin", "ip": "192.168.8.192", "timestamp": "2025-03-10T17:59:37.831679"}
2025-03-10 17:59:38,150 - WARNING - EVENT: login_success | IP: 2402:4000:2390:816b:9452:793c:996c:174a | Location: Colombo, Sri Lanka (Colombo District) | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}
2025-03-10 18:02:46,525 - WARNING - EVENT: login_attempt | IP: 2402:4000:2390:816b:9452:793c:996c:174a | Location: Colombo, Sri Lanka (Colombo District) | Coords: 6.9318,79.8863 | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"username": "admin", "ip": "192.168.8.192", "timestamp": "2025-03-10T18:02:46.525449"}
2025-03-10 18:02:46,839 - WARNING - EVENT: login_success | IP: 2402:4000:2390:816b:9452:793c:996c:174a | Location: Colombo, Sri Lanka (Colombo District) | Coords: 6.9318,79.8863 | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}
2025-03-10 18:04:45,342 - WARNING - EVENT: login_attempt | IP: 2402:d000:8108:2621:d538:d211:506a:3e13 | Location: Colombo, Sri Lanka (Colombo District) | Coords: 6.9318,79.8863 | ISP: unknown | User: anonymous (none) | POST /login | Browser: Chrome Mobile 116.0.0 | OS: Android 10 | Details: {"username": "admin", "ip": "192.168.8.192", "timestamp": "2025-03-10T18:04:45.341969"}
2025-03-10 18:04:45,547 - WARNING - EVENT: login_success | IP: 2402:d000:8108:2621:d538:d211:506a:3e13 | Location: Colombo, Sri Lanka (Colombo District) | Coords: 6.9318,79.8863 | ISP: unknown | User: anonymous (none) | POST /login | Browser: Chrome Mobile 116.0.0 | OS: Android 10 | Details: {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}
2025-03-10 18:08:08,320 - WARNING - EVENT: login_attempt | IP: 2402:d000:8108:2621:d538:d211:506a:3e13 | Location: Colombo, Sri Lanka (Colombo District) | Coords: 6.9318,79.8863 | ISP: unknown | User: admin (IT) | POST /login | Browser: Chrome Mobile 116.0.0 | OS: Android 10 | Details: {"username": "Pakaya", "ip": "192.168.8.192", "timestamp": "2025-03-10T18:08:08.320101"}
2025-03-10 18:08:08,517 - WARNING - EVENT: login_success | IP: 2402:d000:8108:2621:d538:d211:506a:3e13 | Location: Colombo, Sri Lanka (Colombo District) | Coords: 6.9318,79.8863 | ISP: unknown | User: admin (IT) | POST /login | Browser: Chrome Mobile 116.0.0 | OS: Android 10 | Details: {"username": "Pakaya", "user_id": 4, "name": "Paka", "is_admin": false}
